0.14400,0.05600,0.12800,0.21600
0.17600,0.10400,0.19200,0.26400
0.14400,0.05600,0.16800,0.25600
0.14400,0.04000,0.12800,0.23200
0.28800,0.21600,0.29600,0.36800
0.57600,0.49600,0.56000,0.64000
0.21600,0.15200,0.24800,0.31200
0.20800,0.11200,0.17600,0.27200
0.12000,0.05600,0.17600,0.24000
0.04800,-0.07200,0.04800,0.16800
0.05600,-0.08800,0.02400,0.16800
0.14400,0.03200,0.05600,0.16800
0.07200,-0.07200,0.04000,0.18400
0.16800,0.05600,0.16000,0.27200
0.12800,0.02400,0.11200,0.21600
0.08900,0.00100,0.08800,0.17600
0.17600,0.10400,0.19200,0.26400
0.08900,0.00100,0.12000,0.20800
0.07100,-0.04800,0.04800,0.16700
0.10400,0.04800,0.12800,0.18400
0.04800,-0.03200,0.04800,0.12800
0.09600,0.02400,0.12800,0.20000
0.17600,0.07200,0.16000,0.26400
0.13600,0.04800,0.12000,0.20800
0.11200,0.04000,0.12000,0.19200
0.20000,0.12800,0.19200,0.26400
0.09600,0.03200,0.14400,0.20800
0.05600,-0.05600,0.06400,0.17600
0.12000,0.04800,0.13600,0.20800
0.04800,-0.04000,0.03200,0.12000
0.12700,0.04800,0.14400,0.22300
0.16000,0.06400,0.16000,0.25600
0.13600,0.04000,0.12000,0.21600
0.10400,0.02400,0.09600,0.17600
0.15200,0.05600,0.16800,0.26400
0.07200,-0.04000,0.09600,0.20800
0.19200,0.10400,0.19200,0.28000
0.12000,0.03200,0.13600,0.22400
0.08000,-0.02400,0.04000,0.14400
0.12000,0.05600,0.12800,0.19200
0.10400,0.03200,0.12000,0.19200
0.08900,0.00100,0.10400,0.19200
0.17500,0.07200,0.16800,0.27100
0.30400,0.20800,0.27200,0.36800
0.08800,0.02400,0.08800,0.15200
0.15200,0.08800,0.17600,0.24000
0.05600,-0.05600,0.05600,0.16800
0.16800,0.05600,0.13600,0.24800
0.09600,0.01600,0.10400,0.18400
0.15200,0.06400,0.16800,0.25600
0.08800,0.01600,0.10400,0.17600
